# hmc_ave, smd_ave, xy_ave, xysmd_ave
0.156525,0.363111,0.902327,0.910135
0.810440,0.874157,0.968758,0.979771
0.916255,0.959225,0.983355,0.992402
0.947930,0.981327,0.989690,0.996319
0.964365,0.989731,0.992922,0.997949
0.973965,0.993632,0.994713,0.998728
0.987197,0.997863,0.997475,0.999575
0.994208,0.999360,0.998895,0.999877
0.996747,0.999726,0.999377,0.999945
0.998553,0.999916,0.999700,0.999985
0.999193,0.999966,0.999828,0.999993
0.999462,0.999985,0.999878,0.999996
