# kappa, susp
2.000000,129.021714
1.818182,163.473935
1.666667,205.943924
1.538462,248.864350
1.481481,273.089472
1.428571,302.259717
1.340483,360.649874
1.250000,437.088648
1.111111,618.493449
1.000000,505.440713
0.666667,268.134053
0.500000,236.576915
0.400000,223.737049
0.333333,222.679865
