# hmc_error, hmcn_error, smd_error, smdn_error, xy_error, xyn_error, xysmd_error, xysmdn_error
0.002005,0.001694,0.001712,0.001314,0.000686,0.000679,0.000539,0.000508
0.002947,0.002501,0.002508,0.001918,0.001269,0.001242,0.000960,0.000907
0.003637,0.003091,0.003080,0.002356,0.001712,0.001652,0.001266,0.001196
0.004060,0.003451,0.003434,0.002626,0.002002,0.001910,0.001457,0.001374
0.004197,0.003571,0.003553,0.002716,0.002105,0.002002,0.001522,0.001436
