# hmc_ave, hmcn_ave, smd_ave, smdn_ave, xy_ave, xyn_ave, xysmd_ave, xysmdn_ave
144.511026,136.115772,144.232734,134.945319,-422.213403,-420.191217,-422.200335,-419.753821
144.998840,143.243698,145.092243,142.886070,-422.221303,-422.176575,-422.489614,-421.963337
144.405350,144.112879,145.009577,143.882732,-422.557824,-422.358567,-422.296464,-422.220490
144.806102,144.387779,144.511749,144.104104,-422.258580,-422.048759,-422.497199,-422.204399
144.857051,144.445678,144.672135,144.573169,-422.521335,-422.272041,-422.371617,-422.390309
144.730574,144.454804,144.251868,144.653122,-422.375026,-422.454579,-422.221240,-422.469850
144.618538,144.487369,144.693866,144.526584,-422.643698,-422.326744,-422.346056,-422.101746
144.637864,144.522156,144.439356,144.411350,-422.351961,-422.203040,-422.317717,-422.324029
144.634990,144.523210,144.751286,144.137289,-422.210054,-422.346538,-422.455485,-422.423195
144.653399,144.523684,144.328981,144.384414,-422.182468,-422.111049,-422.115240,-422.024750
144.661698,144.523781,144.680906,144.627772,-422.510002,-422.226446,-422.261944,-422.476025
144.660706,144.523812,144.627579,144.333241,-422.217276,-422.288635,-422.372869,-422.136906
