# hmc_time, hmcn_time, smd_time, smdn_time, xy_time, xyn_time, xysmd_time, xysmdn_time
220.041000,218.614000,260.007000,294.829000,462.026000,530.206000,530.709000,508.003000
268.842000,266.902000,350.949000,397.295000,608.532000,743.361000,746.693000,781.744000
315.877000,314.874000,437.149000,496.805000,813.897000,826.836000,945.144000,1036.630000
437.687000,403.646000,596.485000,599.007000,971.062000,1005.690000,1060.670000,1285.700000
423.000000,529.427000,719.571000,700.891000,1130.150000,1161.810000,1393.190000,1449.670000
644.192000,611.401000,845.456000,803.358000,1321.550000,1296.000000,1657.020000,1625.530000
834.950000,702.772000,1137.200000,1105.870000,1667.640000,1754.260000,2240.950000,2300.540000
1141.480000,1083.320000,1712.580000,1627.250000,2401.200000,2515.830000,3289.340000,3293.380000
1349.490000,1525.480000,2165.250000,2109.040000,3101.850000,3249.110000,4293.590000,4327.430000
1753.830000,1552.460000,3012.120000,3169.410000,4753.880000,4830.550000,5898.700000,5749.810000
2578.010000,2271.980000,4235.310000,4134.110000,6291.070000,6270.720000,7869.710000,7498.670000
2714.530000,2813.220000,4913.180000,5146.890000,7604.500000,7587.620000,9779.040000,9377.630000
