# hmc_error, hmcn_error, smd_error, smdn_error, xy_error, xyn_error, xysmd_error, xysmdn_error
0.409264,0.341954,0.353481,0.269174,0.246631,0.242884,0.223859,0.201496
0.382317,0.366325,0.300163,0.264770,0.236849,0.229393,0.197420,0.181675
0.375961,0.367942,0.289482,0.267441,0.242385,0.247566,0.187002,0.192731
0.387185,0.367109,0.284424,0.282541,0.238606,0.263898,0.177575,0.191672
0.386616,0.365365,0.266320,0.262696,0.231915,0.241462,0.181697,0.189829
0.380461,0.365007,0.279069,0.276085,0.248339,0.244809,0.182792,0.192295
0.379755,0.369034,0.263464,0.259912,0.244531,0.241800,0.194749,0.194044
0.379550,0.367609,0.275087,0.270766,0.236072,0.248455,0.189185,0.185342
0.379752,0.367600,0.283606,0.259533,0.246803,0.234306,0.189595,0.177368
0.380307,0.367596,0.265739,0.278193,0.237551,0.236564,0.193328,0.189105
0.380394,0.367595,0.274826,0.280910,0.247837,0.239202,0.189584,0.192236
0.380441,0.367595,0.270542,0.251930,0.245681,0.238036,0.181924,0.193318
