# hmc_error, hmcn_error, smd_error, smdn_error, xy_error, xyn_error, xysmd_error, xysmdn_error
0.001933,0.001864,0.001506,0.001317,0.000659,0.000638,0.000524,0.000485
0.002840,0.002749,0.002218,0.001910,0.001235,0.001171,0.000928,0.000874
0.003497,0.003397,0.002736,0.002332,0.001667,0.001555,0.001222,0.001170
0.003901,0.003792,0.003048,0.002586,0.001942,0.001801,0.001401,0.001357
0.004039,0.003925,0.003151,0.002670,0.002037,0.001891,0.001466,0.001420
