# hmc_ave, hmcn_ave, smd_ave, smdn_ave, xy_ave, xyn_ave, xysmd_ave, xysmdn_ave
0.330332,0.395362,0.331740,0.398664,0.174337,0.171640,0.174266,0.169584
0.325666,0.340021,0.323425,0.343146,0.174525,0.177193,0.176415,0.175245
0.331764,0.333828,0.323295,0.334994,0.177922,0.176649,0.175183,0.176712
0.327836,0.331490,0.327986,0.333477,0.175060,0.173262,0.176958,0.175323
0.326950,0.331124,0.328245,0.328422,0.177865,0.176184,0.175870,0.175615
0.328287,0.331125,0.330890,0.328462,0.176746,0.176503,0.174077,0.176378
0.329285,0.330897,0.326743,0.329184,0.179219,0.175853,0.174772,0.173401
0.329041,0.330678,0.329958,0.330302,0.176007,0.174335,0.175054,0.175495
0.329068,0.330671,0.326064,0.333050,0.174519,0.175076,0.176276,0.177239
0.328827,0.330668,0.330887,0.330080,0.175415,0.173383,0.172825,0.172729
0.328755,0.330667,0.326791,0.328144,0.177929,0.175262,0.174117,0.176726
0.328763,0.330667,0.327789,0.331547,0.175362,0.175475,0.176577,0.174189
