# hmcaves, hmcnaves, smdaves, smdnaves, xyaves, xynaves, xysmdaves, xysmdnaves
0.462559,0.471739,0.461893,0.473343,0.417375,0.417664,0.418095,0.417076
0.377449,0.389352,0.376238,0.391646,0.270654,0.271833,0.271989,0.270517
0.342011,0.355614,0.340288,0.358367,0.205543,0.207595,0.207221,0.205761
0.325666,0.340021,0.323425,0.343146,0.174525,0.177193,0.176415,0.175245
0.320903,0.335403,0.318382,0.338654,0.165179,0.168069,0.167078,0.166196
