# hmc_error, hmcn_error, smd_error, smdn_error, xy_error, xyn_error, xysmd_error, xysmdn_error
0.004174,0.003515,0.003620,0.002704,0.001985,0.001897,0.001586,0.001484
0.003901,0.003792,0.003048,0.002586,0.001942,0.001801,0.001401,0.001357
0.003854,0.003792,0.003006,0.002683,0.001874,0.001981,0.001369,0.001375
0.003920,0.003788,0.002932,0.002869,0.001913,0.002051,0.001309,0.001377
0.003958,0.003763,0.002669,0.002697,0.001845,0.001907,0.001304,0.001399
0.003887,0.003761,0.002831,0.002764,0.001960,0.001905,0.001332,0.001351
0.003890,0.003801,0.002732,0.002658,0.001880,0.001910,0.001414,0.001377
0.003885,0.003781,0.002803,0.002728,0.001886,0.001940,0.001389,0.001350
0.003887,0.003781,0.002844,0.002640,0.001990,0.001840,0.001391,0.001321
0.003894,0.003781,0.002696,0.002839,0.001906,0.001862,0.001392,0.001338
0.003894,0.003781,0.002831,0.002822,0.001978,0.001909,0.001397,0.001387
0.003894,0.003781,0.002762,0.002591,0.001931,0.001902,0.001325,0.001403
